label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,0,0,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,1,1,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,2,2,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,3,3,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,4,4,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,5,5,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,6,6,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,7,7,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,8,8,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,9,9,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,10,10,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,3.0,3,11,11,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,0,0,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,1,1,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,2,2,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,3,3,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,4,4,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,5,5,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,6,6,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,7,7,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,8,8,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,9,9,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,10,10,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,3.0,3,11,11,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,0,0,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,1,1,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,2,2,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,3,3,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,4,4,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,5,5,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,6,6,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,7,7,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,8,8,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,9,9,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,10,10,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,2.0,2,11,11,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,0,0,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,1,1,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,2,2,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,3,3,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,4,4,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,5,5,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,6,6,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,7,7,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,8,8,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,9,9,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,10,10,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,3.0,3,11,11,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,0,0,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,1,1,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,2,2,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,3,3,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,4,4,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,5,5,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,6,6,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,7,7,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,8,8,0.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,9,9,1.0
svm,occupancy_bin,full,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,5.0,5,10,10,0.0
