label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,0.4707009857612268,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,0.4707009857612268,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,0.4707009857612268,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,2,2,0.413198247535597
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_8_g0,192,3,0,H,3H,,,1,0.4707009857612268,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,2,2,-0.586801752464403
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_18_g0,473,3,0,H,3H,,,1,-0.5292990142387732,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,2,2,0.413198247535597
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_22_g0,14,3,1,S,3S,,,1,0.4707009857612268,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,2,2,0.413198247535597
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,3,3,-0.617196056955093
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,4,4,0.8556955093099672
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,476,3,1,S,3S,,,1,0.4707009857612269,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,2,2,-0.586801752464403
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,274,3,1,S,3S,,,1,-0.5292990142387732,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,2,2,-0.586801752464403
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,3,3,-0.617196056955093
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,4,4,0.8556955093099672
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,397,4,0,H,4H,,,1,-0.5292990142387732,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,0,0,-0.15963855421686746
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,2,2,0.413198247535597
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,3,3,0.38280394304490695
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,4,4,-0.14430449069003287
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_12_g0,71,4,0,H,4H,,,1,0.4707009857612268,6,5,5,-0.02656078860898138
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,424,4,0,H,4H,,,1,-0.5292990142387732,6,0,0,0.8403614457831325
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,424,4,0,H,4H,,,1,-0.5292990142387732,6,1,1,0.005202628696604594
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,424,4,0,H,4H,,,1,-0.5292990142387732,6,2,2,-0.586801752464403
svm,occupancy_bin,mean_removed,6,unith,Faure,top_ten,trial,june_09_09_g0,424,4,0,H,4H,,,1,-0.5292990142387732,6,3,3,-0.617196056955093
