scope,label_source,feature,variant,k,space,dim,monkey,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,half_i,half_j,n_splits,min_trials,min_stable,seed,cell_i,cell_j,maze_i,strategy_i,maze_j,strategy_j,name_i,name_j,r,n_trials_i,n_trials_j,present_i,present_j,stable_i,stable_j,n_degenerate
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,0,1,0,1,0,1H,1H,0.10972830217793675,51,51,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,,20,4,8,0,0,1,1,0,2,0,1H,2H,,51,0,True,False,True,False,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,2,1,0,3,0,1H,3H,0.18441711055703577,51,34,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,,20,4,8,0,0,3,1,0,4,0,1H,4H,,51,0,True,False,True,False,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,2,20,4,8,0,0,4,1,0,5,0,1H,5H,-0.10904134263340293,51,5,True,True,True,False,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,,20,4,8,0,0,5,1,0,6,0,1H,6H,,51,0,True,False,True,False,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,6,1,0,1,1,1H,1S,0.09880943852087318,51,9,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,7,1,0,2,1,1H,2S,0.06894586453771115,51,35,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,8,1,0,3,1,1H,3S,0.10111155372922816,51,12,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,9,1,0,4,1,1H,4S,0.20379820218346123,51,56,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,10,1,0,5,1,1H,5S,0.024488703605986557,51,50,True,True,True,True,0
top_four,dendro,occupancy_bin,mean_removed,12,unith,12,Faure,june_16_g0,0.977857142857143,,,,4,4,20,4,8,0,0,11,1,0,6,1,1H,6S,-0.12172599506945367,51,67,True,True,True,True,0
