method,monkey,source,scope,maze,session,k,feature,variant,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy,full,1.0,1.0,1.0,1.0,0.0,-0.03162277660168379,1.0,0,1.1102230246251566e-19,3.5108334685767016e-18,27,22,11,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,27,22,11,1,49,100,1000,
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy,mean_removed,0.5,0.34,-0.56,-0.56,0.9800000000000001,1.5047042182656163,0.1018981018981019,0,0.026940000000000006,0.6333869397259589,27,22,11,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,full,0.9550561797752809,1.0,1.0,0.9574468085106383,-0.0011953143676788347,0.185523448708257,0.8161838161838162,0,-0.0036861753679527823,0.013426124932546536,27,22,11,2,26,100,1000,
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,27,22,11,1,49,100,1000,
block_means,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,mean_removed,-0.52,0.24,0.02,-0.06,-0.12000000000000002,-0.23104759317032192,0.8471528471528471,0,0.02217999999999999,0.6153710499602082,27,22,11,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy,full,0.62,1.0,0.72,0.82,0.040000000000000036,0.781976387506825,0.06293706293706294,0,-0.0008400000000000021,0.05222664092225367,51,12,6,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,51,12,6,1,63,100,1000,
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy,mean_removed,-0.14,0.32,-0.020000000000000007,-0.12,0.16,0.4521211068297585,0.7322677322677322,0,-0.015399999999999999,0.3879491520090546,51,12,6,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,full,0.4,1.0,0.6857142857142857,0.7808219178082192,-0.0332681017612525,nan,0.000999000999000999,1,nan,nan,51,12,6,2,45,100,1000,
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,51,12,6,1,63,100,1000,
block_means,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,mean_removed,0.18,0.9,-0.56,-0.4,1.02,2.396355840983022,0.011988011988011988,0,0.015460000000000002,0.41919483860457146,51,12,6,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy,full,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,29,29,14,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,29,29,14,1,58,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy,mean_removed,0.36,0.38,-0.34,-0.48,0.78,1.0784263647582912,0.2807192807192807,0,0.02756,0.6977203308346834,29,29,14,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,full,0.3888888888888888,1.0,0.7317073170731707,0.7555555555555555,-0.049186991869918706,-6.2237693210634,0.002997002997002997,0,-0.0008219051223362498,0.007771028174822962,29,29,14,2,32,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,29,29,14,1,58,100,1000,
block_means,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,mean_removed,0.86,0.98,-0.92,-0.92,1.8399999999999999,2.731959894146574,0.004995004995004995,0,-0.003399999999999989,0.6747536828595547,29,29,14,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,full,0.9,0.96,0.94,0.92,0.0,0.005853617753929495,0.8801198801198801,0,-0.0001600000000000044,0.027333523767006727,35,24,12,2,2,100,1000,
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,35,24,12,1,59,100,1000,
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,mean_removed,-0.36,-0.78,0.12,-0.06,-0.6000000000000001,-1.0786492352974928,0.2777222777222777,0,0.007,0.5627408615670958,35,24,12,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,full,0.6176470588235294,0.9036144578313253,0.7922077922077922,0.8181818181818182,-0.044564046867377805,0.19354829998598538,0.6683316683316683,0,-0.0705542294408515,0.13428267039987238,35,24,12,2,39,100,1000,
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,35,24,12,1,59,100,1000,
block_means,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,mean_removed,-0.12,-1.0,0.02,-0.06,-0.54,-1.062757402905867,0.2817182817182817,0,0.025400000000000006,0.532012290344008,35,24,12,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy,full,0.12,1.0,0.56,0.56,0.0,0.05168290814817329,0.98001998001998,0,-8.000000000000174e-05,0.00154790051230562,14,49,7,2,1,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,14,49,7,1,63,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy,mean_removed,0.98,0.02,-0.5,-0.3,0.9,2.2512215050992452,0.015984015984015984,0,0.0005800000000000014,0.39952532345783054,14,49,7,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,full,1.0,0.9775280898876404,1.0,0.9782608695652174,-0.0003663898387884501,nan,0.000999000999000999,1,nan,nan,14,49,7,2,41,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,14,49,7,1,63,100,1000,
block_means,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,mean_removed,-0.11999999999999997,0.06,-0.06,0.16,-0.07999999999999999,-0.20797261903011155,0.8781218781218781,0,0.0052799999999999965,0.4100539792098912,14,49,7,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy,full,1.0,1.0,1.0,1.0,0.0,0.031622776601684145,0.997002997002997,0,-2.000000000000024e-05,0.0006324555320336763,48,16,8,2,1,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,48,16,8,1,64,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy,mean_removed,-0.08,-0.16,-0.14,0.02,-0.05999999999999999,-0.17432594833952986,0.8681318681318682,0,0.011399999999999999,0.4095775797010791,48,16,8,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,full,0.44186046511627897,0.9999999999999998,0.803921568627451,0.7777777777777778,-0.06991944064447508,nan,0.000999000999000999,1,nan,nan,48,16,8,2,54,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,48,16,8,1,64,100,1000,
block_means,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,mean_removed,-0.3181818181818181,-0.9999999999999997,-0.08695652173913042,0.16666666666666663,-0.698945981554677,nan,0.000999000999000999,1,nan,nan,48,16,8,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_22_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy,full,0.88,1.0,0.94,0.94,0.0,-0.028708084502846398,0.975024975024975,0,0.001259999999999995,0.043890075629220975,36,10,5,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,36,10,5,1,46,100,1000,
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy,mean_removed,-0.1,-0.54,-0.019999999999999997,0.14,-0.38,-0.9208910485962589,0.4195804195804196,0,-0.004179999999999997,0.4081047378762921,36,10,5,2,0,100,1000,
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy_bin,full,0.12499999999999997,nan,0.5483870967741934,0.4074074074074073,nan,nan,0.000999000999000999,1,nan,nan,36,10,5,2,38,100,1000,
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,36,10,5,1,46,100,1000,
block_means,Faure,svm,top_ten,2,june_12_g0,2,occupancy_bin,mean_removed,-0.04,-1.0,0.06,-0.06000000000000002,-0.52,-1.13034687138503,0.36663336663336665,0,0.02235999999999999,0.47981731425101265,36,10,5,2,0,100,1000,
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_24_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=47, n_S=2; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_8_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=43, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_28_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=63, n_S=0; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_29_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=60, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_16_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=40, n_S=6; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy,full,0.82,0.86,0.88,0.8,-1.1102230246251565e-16,-0.020634715071035124,0.5424575424575424,0,0.0012999999999999989,0.0630006276086126,53,11,5,2,0,100,1000,
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,53,11,5,1,64,100,1000,
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy,mean_removed,-0.02,-0.24,0.039999999999999994,-0.02,-0.14,-0.43237113783174874,0.7422577422577422,0,0.0013600000000000012,0.32694134189643415,53,11,5,2,0,100,1000,
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy_bin,full,0.59375,-0.5918367346938774,0.4,0.34615384615384615,-0.3721202904238618,nan,0.000999000999000999,1,nan,nan,53,11,5,2,40,100,1000,
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,53,11,5,1,64,100,1000,
block_means,Faure,svm,top_ten,3,june_09_09_g0,2,occupancy_bin,mean_removed,0.0,0.46,0.2,0.019999999999999983,0.12000000000000001,0.4037220388377158,0.7192807192807192,0,-0.008899999999999996,0.31927907718660353,53,11,5,2,0,100,1000,
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_18_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=60, n_S=5; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_10_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=52, n_S=3; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_22_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=46, n_S=7; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,3,june_12_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=53, n_S=1; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_24_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=0, n_S=60; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_8_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=0, n_S=49; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_28_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=9, n_S=52; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_29_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=2, n_S=69; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_16_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=7, n_S=51; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_09_09_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=8, n_S=63; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_18_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=1, n_S=68; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_18_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=1, n_S=68; need >= 10 of each"
block_means,Faure,svm,top_ten,4,june_18_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=1, n_S=68; need >= 10 of each"
